delta,theta,alpha,beta,gamma,label,delta_rel,theta_rel,alpha_rel,beta_rel,gamma_rel,alpha_beta_ratio,theta_beta_ratio,engagement_index,fatigue,workload,calmness
0.21704493420433313,0.08304345538222258,0.5005939371441217,0.6510806015498285,0.3950257008574585,1,0.25718873923391683,0.07205442726655661,0.589016891569037,0.7453649562720748,0.49884354040316786,0.20610418172992376,0.017783225091167233,0.7114599221277879,0.05122522529654877,0.7374492989002839,0.49873936544929875
0.37860673366058095,0.5541122725849108,0.004355004790135064,0.16176644744773325,0.7526325131811543,0,0.4918182301655191,0.7088263356566052,0.0,0.17071490359133693,1.0,0.043738581603075005,0.49489843350636337,0.21838346945145384,0.8777599868006584,0.3173857158840228,0.007425597543708154
0.7492328598736874,0.6497172539983869,0.06972098458582054,0.22954209508026666,0.7468408493841918,0,0.7664648582482865,0.627837486679089,0.009616343183084686,0.1588755224140632,0.7511360661554409,0.08651963966820878,0.46236462015755325,0.2234527696538253,0.8904896481003368,0.2647212191607065,0.00656292411303154
0.47421150954840424,0.7101596466237048,0.32426700577338974,0.25703287469001357,1.0000000000000002,0,0.3964680904216605,0.6176333475451342,0.21832158417642122,0.15205837802714087,0.9412212258457431,0.39620424269268617,0.4656925169521901,0.14512853978788517,0.32058963763306686,0.33577439575079254,0.10220891270763827
0.31489652741279234,0.12044544219458864,0.6556250453900359,0.5005405236843999,0.18212658144206098,1,0.40152869866152957,0.12488980278625286,0.7870484102820791,0.5747413886564274,0.19979038781234942,0.4323779964293434,0.04639756840608101,0.41607657289353206,0.05315655348846343,0.3274346781753418,0.4889794020457835
0.25347439966285334,0.3459362509064279,0.019835397867037946,0.0568167559110275,0.261796864620764,0,0.6059782196066146,0.7647775735231672,0.1224880374359445,0.18040693033395636,0.6241036985433615,0.22075846406089253,0.5139636929318189,0.16344720356152034,0.5537916788063416,0.17700043011589006,0.04148773256919221
0.19309518056518937,0.21888508435435478,0.6954981493840883,0.34740508018010385,0.5477624954016352,1,0.19379814199065054,0.22450175320914492,0.7579639444568493,0.3480567017684887,0.6522038284390415,0.6777996114378363,0.12392649528459077,0.23149957868900753,0.041184027807092224,0.5382497759221682,0.5556847382749611
0.7114456482725068,0.5551807048252602,0.2221163937471645,0.16144892089075233,0.9510710196995981,0,0.6768005230040703,0.491311201566644,0.1402555770899222,0.07988136037087432,0.9230758654961537,0.4139663518766258,0.4963132537699419,0.1312585860980824,0.46415287928344995,0.4063010207719209,0.058395472857442926
0.6425486506627537,0.3833595297602012,0.17192315066420752,0.2049843998954782,0.053835725164468495,0,1.0,0.5683901090936188,0.24585364922835545,0.2790355595937509,0.05130274514973032,0.2605340451139724,0.3079439042114357,0.2600665698876172,0.4525620974745599,0.030766405029010707,0.06101625494548696
0.5918902792537007,0.831346538152532,0.45881492081402897,0.5842883039951964,0.6768523849367564,0,0.4447910058015941,0.6443042271546685,0.28380393852760727,0.3719061515489288,0.5079525218819712,0.21539682851020384,0.28051908448854757,0.29887735052708386,0.28829405489695126,0.17530967325272517,0.11708817429362225
0.4073171955753015,0.3640268348017172,0.17440002117209027,0.1636040093043646,0.3112676418727238,0,0.6670172122350755,0.566334258642007,0.26672009803093,0.23920687732502852,0.4981463128542211,0.3290532942173663,0.33873069792488253,0.2181405384175922,0.3402512102137606,0.19840436857766314,0.09433587477009439
0.21690559651384284,0.34103197048252976,0.828868820209651,0.5512787984613833,0.2832347984881729,1,0.19083989296464343,0.33355966494852995,0.8234928735529646,0.5132741410926636,0.2577202873533618,0.5153511397374275,0.11930230489780316,0.29611179500120455,0.045895813423081966,0.19409167617472162,0.5275762573451261
0.1070573744701835,0.13128496169832268,0.5312233919013722,0.48993812693499206,0.42745715462867584,1,0.12398372622370712,0.15912141552904394,0.6848365566805957,0.6079672984766996,0.6008960418084364,0.3404689472147425,0.05215649969890555,0.47949357111858104,0.031833544953370915,0.6139553221834788,0.6203187857496126
0.8574337029071739,0.7526945598640633,0.16578485171734705,0.0955723171462926,0.3774308064032308,0,0.9434821272764273,0.7831934611115252,0.11871248580054361,0.04342042737035712,0.35783775781403576,0.46458270776850974,0.8441809635206522,0.0445792779932945,0.6924834252326297,0.09465227194639216,0.023299747861465075
0.03448543667164668,0.12302689171695852,0.8332460915011631,0.9135758702189447,0.3887516183968711,1,0.0,0.08045711917136802,0.8205043041335746,0.8740002508559409,0.38256006048831676,0.2646710659923437,0.012229190139296908,0.6401039140474549,0.0,0.5888069927897371,1.0000000000000002
0.6791073301529457,0.4286103541855029,0.2645126167064623,0.21933790730035932,0.8592817996761474,0,0.6813117091895853,0.3874619141316561,0.19739377503487865,0.14710077123267543,0.8726188435065867,0.3742201876436635,0.3252207126236599,0.21201403991077564,0.365205979605497,0.4700777264825084,0.08539983194741121
0.07859359315393467,0.14894501105786684,0.49110845225803235,0.6229520003132283,0.22715392951680466,1,0.09807499400544567,0.20547723673919924,0.6804768937191672,0.831514524268458,0.3269418124988393,0.21537132049428157,0.041518316085814445,0.6346499684667606,0.03426718678253854,0.3344703979837554,0.6022184012337637
0.5935452473755887,0.6132351545648482,0.21467357380412663,0.3101231873822543,0.36397232219043807,0,0.6892384631767567,0.6838506992163955,0.19550344526467972,0.2885164195237353,0.38371780961778684,0.19828491425392378,0.353793067749313,0.2522620184715788,0.4476553552688365,0.12332698567748578,0.06216199996176265
